Maternal Mortality Change,Maternal Mortality,Malaria Cases Change,Malaria Cases,Neonatal Mortality Change,Neonatal Mortality,GDP Change,GDP per capita,Pupil Teacher Ratio,Pupil Teacher Ratio Change,Tuberculosis Incidents Change,Tuberculosis Incidents,Country,Measles Vaccine,Measles Vaccines,Hib3 Immunizations %,Hib3 Immunizations,Water Services,Water Services Access
,,,,-1,Decrease,3303.328127,Significant increase,,,-5,No change,KNA,-5,Decrease,2,Increase,,
2,Increase,,,-1,Decrease,-10924.21726,Significant decrease,,,-13,Decrease,KWT,1,Stayed the same,1,Stayed the same,0,Stayed the same
6,Increase,,,-1,Decrease,-121.7975251,Decrease,Decrease,-3,-1,No change,LBN,2,Increase,2,Increase,2.629738322,Increased
20,Increase,,,-2,Decrease,-8029.586377,Significant decrease,,,0,No change,LBY,-1,Stayed the same,-1,Stayed the same,5.336842105,Increased
8,Increase,,,-1,Decrease,1414.582397,Significant increase,,,-4,No change,LCA,4,Increase,-2,Decrease,,
-35,Moderate decrease,,,-2,Decrease,-84.61569091,Decrease,,,-396,Significant decrease,LSO,2,Increase,-1,Stayed the same,0.672577247,Stayed the same
-2,No change,,,-1,Decrease,3045.541197,Significant increase,Increase,7,-10,Decrease,LTU,-2,Stayed the same,-1,Stayed the same,2.825003041,Increased
-3,No change,,,0,No change,-686.9151064,Decrease,Stayed the same,-1,-1,No change,LUX,3,Increase,0,Stayed the same,-0.093127829,Decreased
0,No change,,,-2,Decrease,2808.721553,Significant increase,Stayed the same,-1,-13,Decrease,LVA,-2,Stayed the same,8,Significant Increase,0.309242951,Stayed the same
,,,,0,No change,19330.35593,Significant increase,Increase,10,-3,No change,MCO,-4,Decrease,0,Stayed the same,0,Stayed the same
-9,Moderate decrease,,,-1,Decrease,314.2719872,Increase,Stayed the same,-2,-15,Decrease,MDA,-9,Significant Decrease,26,Significant Increase,,
-13,Moderate decrease,,,-3,Decrease,2132.626202,Significant increase,,,12,Increase,MDV,2,Increase,,,2.116137471,Increased
,,,,-2,Decrease,596.7800095,Increase,,,-40,Significant decrease,MHL,-22,Significant Decrease,-34,Significant Decrease,6.291957344,Increased
0,No change,,,2,Increase,586.2592435,Increase,,,-7,Decrease,MKD,-16,Significant Decrease,5,Increase,,
-2,No change,,,0,No change,4044.155182,Significant increase,Stayed the same,-1,5,No change,MLT,20,Significant Increase,21,Significant Increase,-4.99E-06,Stayed the same
-1,No change,,,-2,Decrease,346.6554191,Increase,,,-4,No change,MNE,-43,Significant Decrease,-1,Stayed the same,1.09086069,Increased
-20,Moderate decrease,,,-4,Decrease,1016.857832,Significant increase,,,0,No change,MNG,1,Stayed the same,3,Increase,6.105169355,Increased
-86,Significant decrease,,,-5,Decrease,-162.8912633,Decrease,,,-117,Significant decrease,MWI,-12,Significant Decrease,-9,Significant Decrease,5.563992818,Increased
,,,,-3,Decrease,,,,,24,Increase,NIU,0,Stayed the same,0,Stayed the same,,
-1,No change,,,-1,Decrease,-4942.181423,Significant decrease,Increase,14,-1,No change,NLD,-2,Stayed the same,-2,Decrease,-7.19E-07,Stayed the same
-1,No change,,,0,No change,-17233.22953,Significant decrease,Increase,8,-1,No change,NOR,3,Increase,2,Increase,-5.98E-06,Stayed the same
,,,,-3,Decrease,2899.610488,Significant increase,Increase,26,76,Increase,NRU,-1,Stayed the same,-2,Decrease,1.238436759,Increased
-1,No change,,,1,Increase,6334.841362,Significant increase,Stayed the same,0,-1,No change,NZL,1,Stayed the same,3,Increase,-1.31E-06,Stayed the same
,,,,-2,Decrease,6712.405266,Significant increase,,,27,Increase,PLW,57,Significant Increase,32,Significant Increase,3.577839455,Increased
-1,No change,,,-1,Decrease,-167.9581576,Decrease,Decrease,-3,-2,No change,POL,-2,Stayed the same,-1,Stayed the same,2.014983628,Increased
0,No change,,,0,No change,-2520.289644,Significant decrease,Stayed the same,2,-8,Decrease,PRT,2,Increase,1,Stayed the same,0.327289042,Stayed the same
-1,No change,,,-1,Decrease,-10240.09931,Significant decrease,Stayed the same,0,-14,Decrease,QAT,0,Stayed the same,1,Stayed the same,-0.37019834,Decreased
-6,Moderate decrease,,,-1,Decrease,1357.178326,Significant increase,Stayed the same,1,-30,Decrease,ROU,-9,Significant Decrease,,,0,Stayed the same
-7,Moderate decrease,,,0,No change,-1929.622086,Significant decrease,,,-22,Decrease,RUS,0,Stayed the same,,,0.772556863,Stayed the same
-2,No change,,,0,No change,9487.210151,Significant increase,,,15,Increase,SGP,0,Stayed the same,,,0,Stayed the same
,,,,0,No change,-21804.00959,Significant decrease,,,0,No change,SMR,-6,Decrease,-3,Decrease,0,Stayed the same
0,No change,,,-1,Decrease,20.95833691,Increase,Stayed the same,-1,-11,Decrease,SRB,-13,Significant Decrease,1,Stayed the same,-4.545230575,Decreased
0,No change,,,0,No change,-221.2932639,Decrease,,,-3,No change,SVK,-3,Decrease,-3,Decrease,,
-1,No change,,,-1,Decrease,-1886.962711,Significant decrease,Stayed the same,-1,-4,No change,SVN,-3,Decrease,-2,Decrease,-0.023110994,Decreased
0,No change,,,0,No change,-843.2448104,Decrease,Stayed the same,2,0,No change,SWE,0,Stayed the same,0,Stayed the same,-5.02E-06,Stayed the same
-1,No change,,,0,No change,4273.15455,Significant increase,,,-7,Decrease,SYC,-2,Stayed the same,-3,Decrease,0.476524709,Stayed the same
-4,No change,,,0,No change,412.9359057,Increase,,,-3,No change,TON,-2,Stayed the same,-3,Decrease,,
-3,No change,,,-3,Decrease,-506.4080087,Decrease,,,-1,No change,TTO,-6,Decrease,7,Significant Increase,,
-1,No change,,,-1,Decrease,-443.9178496,Decrease,,,10,Increase,TUN,-1,Stayed the same,,,,
,,,,-3,Decrease,233.6060459,Increase,,,52,Increase,TUV,11,Significant Increase,5,Increase,,
-5,No change,,,-1,Decrease,-777.4103688,Decrease,,,-23,Decrease,UKR,-14,Significant Decrease,-4,Decrease,,
1,No change,,,0,No change,3395.127403,Significant increase,,,6,Increase,URY,0,Stayed the same,0,Stayed the same,,
4,Increase,,,0,No change,9437.378586,Significant increase,Decrease,-13,-1,No change,USA,0,Stayed the same,3,Increase,0.030505196,Stayed the same
4,Increase,,,-3,Decrease,782.2759911,Increase,,,-10,Decrease,VCT,0,Stayed the same,0,Stayed the same,,
-14,Moderate decrease,,,-1,Decrease,542.8027025,Increase,Decrease,-24,-1,No change,WSM,12,Significant Increase,10,Significant Increase,3.043530577,Increased
-83,Significant decrease,,,-2,Decrease,-208.8806231,Decrease,Decrease,-53,-119,Significant decrease,ZMB,-3,Decrease,8,Significant Increase,3.427124437,Increased
